Dynamic Technique,Geometric Mean Complexity Weight,Log Scaled Geometric Mean Complexity,Geometric Mean Complexity Weight accounting for total playing time,Log Scaled Geometric Mean Complexity accounting for total playing time,Relative to 'default' element Complexity Weight,Relative to 'default' element Complexity Weight accounting for total playing time
dim,1.20562941999318,1.1411904161110815,1.39790012792514,1.2617715720350233,1.16136919315403,1.16136919315403
pp,1.36035805446714,1.2390057257829183,2.02902096797099,1.5988515650210577,1.18592964824121,1.18592964824121
mf,1.0,1.0,1.0,1.0,1.0,1.0
f,0.194129497993161,0.25595929889915414,0.176311036159875,0.23426958312860272,1.01716738197425,1.01716738197425
cresc,0.862272113829489,0.897063893836241,0.686991566383588,0.7544527613154683,1.13942307692308,1.13942307692308
none,0.743807618490335,0.8022408869271679,1.81796332254592,1.494652834243196,1.1021897810219,1.1021897810219
p,0.439305650228156,0.5253729946105686,0.945808605810773,0.9603698103105586,1.06292134831461,1.06292134831461
ppp,1.55,1.3504972470841332,4.42,2.438292851579147,1.2,3.91
mp,1.14416433747276,1.1004154840470957,1.17233769375471,1.1192483900833847,1.17708333333333,1.17708333333333
ff,0.924631723980641,0.944582414214637,0.792712214141259,0.8421439095366456,1.12559241706161,1.12559241706161
fff,1.33,1.2203299548795556,2.85,1.944858445807539,1.11,3.19
