Interval,Geometric Mean Complexity Weight,Log Scaled Geometric Mean Complexity,Geometric Mean Complexity Weight accounting for total playing time,Log Scaled Geometric Mean Complexity accounting for total playing time,Relative to 'default' element Complexity Weight,Relative to 'default' element Complexity Weight accounting for total playing time
0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.57212410380404,0.6527151087387428,0.58894121978169,0.668065755587633,1.09210526315789,1.07412419333542
2,0.680743971021136,0.7490999745026715,1.0441391829682,1.0314934309828616,1.11160714285714,1.09194191979557
3,0.351746531241257,0.43482465428012507,0.269517671433699,0.34428047715345556,1.08260869565217,1.05247429771592
4,0.583427852731372,0.6630511339414583,0.603610207933153,0.6813235062429182,1.10666666666667,1.0818924147208
5,0.522539916399022,0.6064800517349126,0.412794706162435,0.498551842232998,1.10421286031042,1.05117916132167
6,1.76715985865418,1.4684059907587959,2.43919551788108,1.7820711352480674,1.25125628140704,1.14951923307696
7,0.433662508685353,0.5197054463895484,0.33038337160609,0.411842041678774,1.08260869565217,1.05356756501804
8,1.33690765689382,1.2246007270289674,1.17823869282828,1.1231620541885736,1.24189526184539,1.1434229780172
9,1.30218269458364,1.2030023261336353,1.2778088149911,1.1876466613395804,1.22962962962963,1.13613002376172
10,1.14322819215659,1.099785463717807,1.25745237951876,1.1746955546798878,1.2,1.11882677916309
11,0.928518518189379,0.9474929992058321,1.39993615899806,1.2629960290329953,1.19424460431655,1.14594309675882
12,0.36034670166992,0.44397438753092167,0.389991723232025,0.4750762923821187,1.05285412262156,1.03088792990321
13,2.93589643170497,1.9766922584232187,2.84850463737538,1.9442979857255829,1.45189504373178,1.22391513474556
14,2.43919506756834,1.7820709463480773,2.60319880148385,1.8492782526535618,1.40677966101695,1.24725141208408
15,3.2052027581049,2.0721753631582547,3.58673261613687,2.197466807874007,1.50909090909091,1.29193273782885
16,4.20968362694556,2.3811957633491887,5.25918848166204,2.645975620516482,1.61165048543689,1.35345376415773
17,3.86832261112538,2.283424774881752,4.48299257570937,2.4549635201430973,1.5859872611465,1.33418101232953
18,4.25618383418727,2.3940157345705,5.15477397492393,2.6217058768163466,1.58095238095238,1.33873199381487
19,4.78171986007849,2.5314987080424625,6.32068812786988,2.8719792649034974,1.62214983713355,1.37636124158568
20,4.77504418349432,2.5298319842887476,6.14765039065195,2.837469070304458,1.6327868852459,1.38243680702403
21,5.42258010759649,2.683152979693853,7.35024730975177,3.0618189266009197,1.68813559322034,1.42650037611957
