Key Signature,Geometric Mean Complexity Weight,Log Scaled Geometric Mean Complexity,Geometric Mean Complexity Weight accounting for total playing time,Log Scaled Geometric Mean Complexity accounting for total playing time,Relative to 'default' element Complexity Weight,Relative to 'default' element Complexity Weight accounting for total playing time
KeySignature.EMinor,1.49103130647876,1.3167431530190707,4.25145537620107,2.392717303360287,1.06410256410256,1.03342220446569
KeySignature.BMinorFlat,10.2982005577747,3.498021110616548,15.4037694219539,4.035955464700145,1.33155080213904,1.16772178641427
KeySignature.CMajorFlat,12.5153478939634,3.7565267431592315,20.0479969044429,4.395611036324726,1.36813186813187,1.19450053191198
KeySignature.GMajorFlat,11.2966391388945,3.62019215352492,16.8243103079513,4.155774349141454,1.33870967741935,1.17335106733332
KeySignature.FMinorSharp,2.82616715934543,1.9358999041834137,3.04252239266872,2.0152557652147416,1.13181818181818,1.04861618603246
KeySignature.DMajor,2.28479332305656,1.7158026000204958,2.10741095675711,1.6357130512663445,1.10176991150442,1.03113592888103
KeySignature.FMinor,7.78050203566009,3.1343034299258794,11.9518903868102,3.6950907760145904,1.28350515463918,1.15031558069137
KeySignature.FMajorSharp,11.1473087746711,3.60256481633164,15.833258179069,4.0732425409458966,1.33870967741935,1.16728421959035
KeySignature.CMinorSharp,3.88702256507802,2.2889557660233018,3.33240607103915,2.115168471297741,1.14220183486239,1.05189015385981
KeySignature.GMinorSharp,6.28022269150844,2.863982581058744,9.62138996286675,3.4089006709464114,1.23573200992556,1.11992487853851
KeySignature.BMinor,2.28479332305656,1.7158026000204958,2.10741095675711,1.6357130512663445,1.10176991150442,1.03113592888103
KeySignature.GMajor,1.49103130647876,1.3167431530190707,4.25145537620107,2.392717303360287,1.06410256410256,1.03342220446569
KeySignature.AMinorSharp,11.6027617584487,3.6556680142173077,18.2598488689326,4.267524477357576,1.35326086956522,1.18448240135482
KeySignature.CMinor,5.19954185216842,2.6321616038822784,7.4822886890512,3.08445358493564,1.20289855072464,1.09753077231974
KeySignature.AMajor,2.82616715934543,1.9358999041834137,3.04252239266872,2.0152557652147416,1.13181818181818,1.04861618603246
KeySignature.CMajor,1.0,1.0,1.0,1.0,1.0,1.0
KeySignature.DMajorFlat,10.2982005577747,3.498021110616548,15.4037694219539,4.035955464700145,1.33155080213904,1.16772178641427
KeySignature.GMinor,3.85465685236327,2.2793693234735586,5.6871961704197,2.741401439726551,1.1554524361949,1.07274851054365
KeySignature.AMinor,1.0,1.0,1.0,1.0,1.0,1.0
KeySignature.KeySignature.DMinor,2.63170491348171,1.8606469842500872,3.96386001554981,2.31146243099613,1.09691629955947,1.0424417640248
KeySignature.EMajor,3.88702256507802,2.2889557660233018,3.33240607103915,2.115168471297741,1.14220183486239,1.05189015385981
KeySignature.AMinorFlat,12.5153478939634,3.7565267431592315,20.0479969044429,4.395611036324726,1.36813186813187,1.19450053191198
KeySignature.BMajorFlat,3.85465685236327,2.2793693234735586,5.6871961704197,2.741401439726551,1.1554524361949,1.07274851054365
KeySignature.AMajorFlat,7.78050203566009,3.1343034299258794,11.9518903868102,3.6950907760145904,1.28350515463918,1.15031558069137
KeySignature.DMinorSharp,11.1473087746711,3.60256481633164,15.833258179069,4.0732425409458966,1.33870967741935,1.16728421959035
KeySignature.KeySignature.FMajor,2.63170491348171,1.8606469842500872,3.96386001554981,2.31146243099613,1.09691629955947,1.0424417640248
KeySignature.BMajor,6.28022269150844,2.863982581058744,9.62138996286675,3.4089006709464114,1.23573200992556,1.11992487853851
KeySignature.CMajorSharp,11.6027617584487,3.6556680142173077,18.2598488689326,4.267524477357576,1.35326086956522,1.18448240135482
KeySignature.EMajorFlat,5.19954185216842,2.6321616038822784,7.4822886890512,3.08445358493564,1.20289855072464,1.09753077231974
KeySignature.EMinorFlat,11.2966391388945,3.62019215352492,16.8243103079513,4.155774349141454,1.33870967741935,1.17335106733332
