Playing Technique,Geometric Mean Complexity Weight,Log Scaled Geometric Mean Complexity,Geometric Mean Complexity Weight accounting for total playing time,Log Scaled Geometric Mean Complexity accounting for total playing time,Relative to 'default' element Complexity Weight,Relative to 'default' element Complexity Weight accounting for total playing time
dead_note_slap,4.87527357508614,2.554656030610559,5.59191998192038,2.7206987300230567,2.59375,1.9147218245387
two_handed_tap,9.19907958591849,3.3503670572070585,13.7581760285168,3.883442523791288,6.07317073170732,4.88435171905661
tap,6.87225574500665,2.976777090095287,9.39349668990379,3.3776091974933107,3.68888888888889,2.97454512023084
2_finger_pluck,1.0,1.0,1.0,1.0,1.0,1.0
slap,5.55312083537528,2.712182134351191,7.7026984850531,3.121462813302454,3.13207547169811,2.43674623266448
1_finger_pluck,1.1355134783208,1.0945830035971065,0.995520720291423,0.996765259007784,1.23267326732673,1.11996873036927
double_stop,3.84117436824151,2.275357057773845,3.50472345605931,2.1714385420392874,2.04098360655738,1.49073801809375
double_thumb_upstroke,8.41678682971999,3.2352348713437715,12.0052705005092,3.7010245015257976,5.08163265306122,4.17207887915277
hammer_on,0.611460879779115,0.6883691656027192,0.682812204865777,0.7508741866347662,1.23880597014925,1.1585208716437
dead_note_pop,4.87051148528744,2.553486207788506,5.7835223429706,2.7620345871050165,2.54081632653061,1.9012133879557
dead_note_pluck_pick,2.23251052468292,1.692655067292494,2.17255474995289,1.6656450614041154,1.66,1.34090042289631
double_thumb_downstroke,9.79931487178295,3.4328678829766264,14.0103550206594,3.9078861944633947,6.225,5.64696971722673
thumb_pluck,3.99696328761907,2.3210516187212953,4.49784509110655,2.458866257625539,2.26363636363636,1.70214862989074
pull_off,1.04880802623734,1.034784809839373,1.24472833628369,1.1665408562753334,1.37190082644628,1.24589910816303
ranking,6.6146428168221,2.9287763652109127,8.32426190100358,3.22098952762986,3.15189873417722,2.33762631861539
palm_mute_thumb_pluck,4.23177061784536,2.3872992885899156,4.52493518934742,2.4659575409646144,2.24324324324324,1.64753929705265
4_note_chord,6.77973422659787,2.9597208703119047,9.11156752883114,3.337934760849564,3.53191489361702,2.7125229804039
3_finger_pluck,6.33856713843832,2.875498403114027,9.9835398034893,3.4572711796426616,2.98203592814371,2.68632904015812
pop,4.25922061394482,2.394849016303009,5.78484219405491,2.762315260964398,2.46534653465346,1.92297348628886
fretting_slap,7.72256214988885,3.124751971928621,8.92906709032413,3.3116581721957594,3.984,2.5805665066211
palm_mute_pluck,3.73686707267433,2.2439331871643304,3.59857408699136,2.2011865836626527,2.05785123966942,1.46389841716236
3_note_chord,3.37065778119031,2.127850420743586,3.4358178583626,2.149200127395043,2.11016949152542,1.58876224445239
natural_harmonic,2.87747223146119,1.9551164494298552,2.99730835006223,1.9990288657148931,1.97619047619048,1.50873335224169
artificial_harmonic,6.89321968345465,2.980613902755945,7.96648299698398,3.164542215046142,3.55714285714286,2.42017230754796
pick,3.7346152773908,2.2432472007833644,6.07052740243185,2.8218178320777563,1.85130111524164,1.76652736553814
palm_mute_pick,4.00757405054799,2.324111850350205,5.36234567508633,2.6695587576342525,1.97619047619048,1.68186225865221
