Time Signature,Geometric Mean Complexity Weight,Log Scaled Geometric Mean Complexity,Geometric Mean Complexity Weight accounting for total playing time,Log Scaled Geometric Mean Complexity accounting for total playing time,Relative to 'default' element Complexity Weight,Relative to 'default' element Complexity Weight accounting for total playing time
7/8,87.2571061548159,6.463640538728102,96.3225738543236,6.604702570093486,2.60732984293194,1.97366571110913
5/4,61.9396261697147,5.975896704653341,74.7491994986126,6.24315873745996,2.18421052631579,1.77534557580504
6/8,18.586848875386,4.291813410945003,14.2576249862318,3.931458503504679,1.49101796407186,1.22173764613131
5/8,52.669936928428996,5.746042287580114,52.6757796460406,5.746199336412632,1.9542468461136,1.523203939068255
12/16,130.516887534282,7.039104251632097,149.839493499918,7.236870400986249,3.07407407407407,2.28550181142914
4/4,1.0,1.0,1.0,1.0,1.0,1.0
3/4,9.40822742988661,3.3796524866891393,6.14643458486554,2.837223648931076,1.31746031746032,1.13324477840958
9/8,108.023783005894,6.76849907598731,117.746130148266,6.891736687581444,2.69189189189189,2.02444915151719
12/8,62.9609978484429,5.999120541206712,58.002141489626,5.882695413097362,1.97619047619048,1.49848916321135
3/8,86.753024981472,6.455376953074344,91.0939343058494,6.525034232365196,2.41747572815534,1.8246702320052
2/2,25.1403458967306,4.708206326311308,25.1738450183923,4.710053971183787,1.45189504373178,1.25414175422813
2/4,15.9610518145704,4.0841537341642145,15.899844504588,4.078938067223709,1.39106145251397,1.21239949121268
